Job id,companyId,title,contractType,Companyname,city,state,sector,viewscount,applicationsCount,dateposted
4016891837,165158,Data Engineer (L5) - Games,Full-time,Netflix,Los Gatos,CA,Entertainment Providers,834,200,04/02/25
4130985970,165158,Data Visualization Engineer (L5) - Product,Full-time,Netflix,Los Gatos, CA,Entertainment Providers,810,200,04/02/25
4083508705,2620735,"Data Engineer, Central Data",Full-time,Lyft,San Francisco County, CA,Ground Passenger Transportation,562,200,04/02/25
4075195230,165158,Data Engineer (L5) - Data Systems Product,Full-time,Netflix,Los Gatos, CA,Entertainment Providers,932,200,04/02/25
4120819959,10667,"Data Engineer, Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",754,194,04/02/25
4125815879,80392352,Data Engineer (Junior),Full-time,Paces,New York, NY,Software Development,767,200,04/02/25
3982462774,165158,Data Engineer (L5),Full-time,Netflix,Los Gatos, CA,Entertainment Providers,944,200,04/02/25
3989284331,165158,Data Engineer (L5) - Ads,Full-time,Netflix,Los Gatos, CA,Entertainment Providers,643,200,04/02/25
4148718851,165158,Data Engineer (L4) - Security,Full-time,Netflix,Los Gatos, CA,Entertainment Providers,972,200,04/02/25
4070167112,165158,"Data Visualization Engineer Intern, Summer 2025",Internship,Netflix,Los Gatos, CA,Entertainment Providers,860,200,04/02/25
4083507967,2620735,"Data Engineer, Central Data",Full-time,Lyft,San Francisco County, CA,Ground Passenger Transportation,844,200,04/02/25
4120823533,10667,"Data Engineer, Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",789,200,04/02/25
4120822675,10667,Data Engineer Intern,Full-time,Meta,New York, NY,"Technology, Information and Internet",958,172,04/02/25
4137309292,165158,Data Engineer (L5) - Commerce Product Data Engineering,Full-time,Netflix,Los Gatos, CA,Entertainment Providers,711,200,04/02/25
4150398486,3526554,Data Engineer,Full-time,BDG,New York, NY,Online Audio and Video Media,678,200,04/02/25
4016895582,165158,Data Engineer (L5) - Product (Device),Full-time,Netflix,Los Gatos, CA,Entertainment Providers,200,200,04/02/25
4120828009,10667,"Data Engineer, Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",836,93,04/02/25
4131815217,80392352,Data Engineer,Full-time,Paces,New York, NY,Software Development,943,200,04/02/25
4120820960,10667,"Data Engineer, Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",677,99,04/02/25
4122379882,78378114,Junior Data Engineer,Full-time,Paramount,New York, NY,Entertainment Providers,932,200,04/02/25
4120820951,10667,"Data Engineer, Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",517,138,04/02/25
4133335951,80392352,Data Engineer,Full-time,Paces,New York, NY,Software Development,572,200,04/02/25
4148264684,16153604,Data Engineer,Full-time,"ReTech Labs, Inc.",San Diego, CA,Information Technology & Services,575,200,04/02/25
4125537833,1447520,Data Engineer - Samsung Ads,Full-time,Samsung Electronics America,Mountain View, CA,Computers and Electronics Manufacturing,872,200,04/02/25
4028650304,165158,Data Engineer (L5) - Security,Full-time,Netflix,Los Gatos, CA,Entertainment Providers,200,200,04/02/25
4130614316,3832633,Data Engineer,Full-time,Calm,San Francisco, CA,Mental Health Care,947,200,04/02/25
4120828070,10667,Data Engineer Intern,Full-time,Meta,New York, NY,"Technology, Information and Internet",913,200,04/02/25
4149214885,222322,Data Engineer Intern,Part-time,"Kwik Trip, Inc.",La Crosse, WI,Retail,804,200,04/02/25
4125730825,2454643,Data Engineer,Full-time,HelloFresh,New York, NY,Consumer Services,901,200,04/02/25
4148527612,74737673,Data Engineer (Databricks preferred),Full-time,NEXT Ventures,Edison, NJ,Consumer Services,678,200,04/02/25
4115021577,22688,Data Engineer,Full-time,Atlassian,Austin, TX,Software Development,677,200,04/02/25
4149787322,1482,Software Engineer - Recent Graduate,Full-time,PayPal,San Jose, CA,"Software Development, Financial Services, and Technology, Information and Internet",907,90,04/02/25
4138463912,81884275,Data Engineer,Full-time,Suno,Boston, MA,"Technology, Information and Internet",755,200,04/02/25
4148227249,204575,Data Engineer,Full-time,InterWorks,Oklahoma City, OK,"Technology, Information and Internet",678,200,04/02/25
4142248460,1318,Data Engineer,Full-time,Wipro,Boston, MA,IT Services and IT Consulting,789,200,04/02/25
4079358073,93246786,Data Engineer,Contract,Accroid Inc,Jersey City, NJ,IT Services and IT Consulting,527,200,04/02/25
4054258701,5837,Data Engineer - 75% Remote,Full-time,Omron Automation,Hoffman Estates, IL,"Appliances, Electrical, and Electronics Manufacturing",833,200,04/02/25
4150714152,1916708,Software Engineer - New Grad 2025,Full-time,Nextdoor,San Francisco, CA,"Technology, Information and Internet",714,200,04/02/25
4120823536,10667,"Data Engineer, Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",762,88,04/02/25
4080016680,2658876,Data Engineer,Full-time,Peloton Interactive,New York, NY,"Technology, Information and Internet",200,200,04/02/25
4120826362,10667,Data Engineer Intern,Full-time,Meta,New York, NY,"Technology, Information and Internet",754,107,04/02/25
4073150825,3365729,Data Engineer I,Full-time,Condé Nast,New York City Metropolitan Area,NY,Media Production,200,200,04/02/25
4147841624,28665250,Data Engineer,Full-time,"APiJET, LLC",Seattle, WA,Airlines and Aviation,724,115,04/02/25
4148224948,204575,Data Engineer,Full-time,InterWorks,Oklahoma City, OK,"Technology, Information and Internet",947,200,04/02/25
4115017957,22688,Data Engineer,Full-time,Atlassian,Austin, TX,Software Development,770,200,04/02/25
4115023391,22688,Data Engineer,Full-time,Atlassian,Austin, TX,Software Development,517,200,04/02/25
4115019764,22688,Data Engineer,Full-time,Atlassian,Austin, TX,Software Development,200,200,04/02/25
4130736027,1154342,Data Engineer,Full-time,Family Office,Los Angeles, CA,Capital Markets,926,200,04/02/25
4145898813,69639337,Data Engineer,Contract,BeaconFire Inc.,New Jersey, United States,IT Services and IT Consulting,677,200,04/02/25
4137705228,9477,Data Engineer,Full-time,"Agero, Inc.",United States, United States,IT Services and IT Consulting,789,200,04/02/25
4151051466,51732630,Data Engineer II,Full-time,Garner Health,New York, NY,"Technology, Information and Internet",620,200,04/02/25
4117985552,13030788,Data Engineer,Full-time,Headway,United States, United States,Mental Health Care,969,200,04/02/25
4143932477,529693,Data Engineer,Full-time,TextNow,New York, NY,"Telecommunications, IT Services and IT Consulting, and Software Development",808,200,04/02/25
4113799942,89214964,Data Engineer,Full-time,Flagler Health,New York, NY,"Technology, Information and Internet",925,200,04/02/25
4151640775,80446438,Software Engineer (all levels),Full-time,Pomelo Care,San Francisco, CA,Hospitals and Health Care,678,200,04/02/25
4066235570,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,932,200,04/02/25
4143545389,3015,Data Engineer II-R-240296,Full-time,Mastercard,Arlington, VA,"Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",838,121,04/02/25
4143818260,18445891,Data Engineer,Full-time,Oshi Health,Chicago, IL,"Technology, Information and Internet",972,200,04/02/25
4144303905,1586,"Data Engineer, WWASFT",Full-time,Amazon,Bellevue, WA,Software Development,677,25,04/02/25
4143668384,1269,Associate Data Engineer,Full-time,Chubb,Jersey City, NJ,Insurance,789,83,04/02/25
4148834197,18059273,Data Engineer: Big Data,Contract,MNJ SOFTWARE,Home, KS,IT Services and IT Consulting,913,200,04/02/25
4105249872,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,830,200,04/02/25
4071353896,2751451,Data Engineer,Full-time,Rite,Renton, WA,IT Services and IT Consulting,655,70,04/02/25
4148415800,3240627,Freelance Data Engineer,Temporary,Saatchi & Saatchi (We Are Saatchi),El Segundo, CA,Advertising Services,678,170,04/02/25
4045409547,66321745,junior Data Engineer,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,969,25,04/02/25
4127696196,17981957,Data Engineer,Full-time,Two Chairs,United States, United States,Mental Health Care,858,200,04/02/25
3998840084,1431,Data Engineer,Full-time,PepsiCo,Plano, TX,Manufacturing and Food and Beverage Services,200,200,04/02/25
4072112483,80517752,Software Engineer - Post-training Data,Full-time,Magic,San Francisco, CA,Software Development,511,200,04/02/25
4142968399,3450,Data Engineer,Full-time,Analog Devices,San Jose, CA,Semiconductor Manufacturing,926,200,04/02/25
4148229125,204575,Data Engineer,Full-time,InterWorks,Oklahoma City, OK,"Technology, Information and Internet",915,200,04/02/25
4151579860,1337,Software Engineer - AI Platform,Full-time,LinkedIn,Mountain View, CA,"Technology, Information and Internet and IT Services and IT Consulting",678,200,04/02/25
4100923585,3450,Associate Data Engineer,Full-time,Analog Devices,San Jose, CA,Semiconductor Manufacturing,759,200,04/02/25
4045412739,66321745,Junior Data Engineer (Remote),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,200,25,04/02/25
4087169490,11137552,Data Engineer,Full-time,Veracity Software Inc,Jersey City, NJ,IT Services and IT Consulting,528,200,04/02/25
4024788970,19031767,Data Engineer,Full-time,Hayden AI,San Francisco, CA,Software Development,200,200,04/02/25
4120826496,10667,Data Analytics Engineer,Full-time,Meta,New York, NY,"Technology, Information and Internet",809,30,04/02/25
4148718999,9215489,Data Engineer - Abu Dhabi Hedge Fund,Full-time,Saragossa,New York, United States,Financial Services,790,200,04/02/25
4152485171,2139901,Senior Data Engineer,Full-time,Everlaw,Oakland, CA,Software Development,678,48,04/02/25
4134134679,2380,Data Engineer,Full-time,United Airlines,Chicago, IL,Airlines and Aviation,677,200,04/02/25
4148913391,1167899,Data Engineer,Full-time,Double Good,Chicago, IL,"Technology, Information and Internet",678,200,04/02/25
4092612147,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,848,200,04/02/25
4136952529,10801123,Data Engineer,Full-time,M Science,New York City Metropolitan Area,NY,Financial Services and Market Research,627,200,04/02/25
4083292134,6125149,Data Engineer,Full-time,Verition Fund Management LLC,New York, NY,Software Development,833,71,04/02/25
3998838429,1431,Data Engineer,Full-time,PepsiCo,Plano, TX,Manufacturing and Food and Beverage Services,200,200,04/02/25
4092606962,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,989,200,04/02/25
4151876036,3255717,Data Engineer,Full-time,Distributor Wire & Cable,Aurora, CO,Internet Publishing,678,200,04/02/25
4129675524,164518,Data Engineer I,Full-time,Jackson,Nashville, TN,Financial Services and Insurance,634,200,04/02/25
4089861426,2646,Data Engineer III,Full-time,Walmart,Sunnyvale, CA,Retail,200,200,04/02/25
4143538863,3015,Data Engineer II-R-239977,Full-time,Mastercard,Arlington, VA,"Financial Services, IT Services and IT Consulting, and Technology, Information and Internet",609,147,04/02/25
4125056035,93109232,Data Engineer,Full-time,Guac,New York, NY,Software Development,860,200,04/02/25
4107748614,33246798,"Data Engineer, E-Commerce",Full-time,TikTok,San Jose, CA,Entertainment Providers,876,200,04/02/25
4143045123,20922,Junior Data Engineer,Full-time,National Audubon Society,New York, NY,"Non-profit Organizations, Political Organizations, and Veterinary Services",711,200,04/02/25
4142279985,72048424,Data Engineer,Full-time,Forian Inc.,United States, United States,"Data Infrastructure and Analytics, Financial Services, and Hospitals and Health Care",926,200,04/02/25
4120825482,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",668,26,04/02/25
4132964570,18503560,Data Engineer (Healthcare Data),Full-time,TechMasters,South San Francisco, CA,Software Development,677,157,04/02/25
4145412381,36094,Data Engineer,Full-time,GAINS,Atlanta, GA,Internet Publishing,522,143,04/02/25
4149980852,1035,Data Engineer,Full-time,Microsoft,Redmond, WA,Software Development,678,200,04/02/25
4152194959,4030,Data Analytics Engineer Co-op,Full-time,Bose Corporation,Framingham, MA,Computers and Electronics Manufacturing and Motor Vehicle Manufacturing,678,200,04/02/25
4141579029,52160608,Data Engineer,Full-time,Whatnot,Los Angeles Metropolitan Area,CA,"Technology, Information and Internet",560,200,04/02/25
4131606335,26793,Data Engineer,Full-time,Apexon,Dallas, TX,IT Services and IT Consulting,560,200,04/02/25
4045410894,66321745,Junior Data Engineer (Remote),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,651,25,04/02/25
4146427912,3876753,Data Engineer,Full-time,PILYTIX,Austin, TX,IT Services and IT Consulting,808,200,04/02/25
4150472828,93246786,Data Engineer,Contract,Accroid Inc,Jersey City, NJ,IT Services and IT Consulting,562,200,04/02/25
4136864033,401618,Data Engineer,Full-time,Premier Group,United States, United States,Software Development and Manufacturing,677,200,04/02/25
4130662149,74615750,Data Engineer,Full-time,Imprint,New York, NY,Financial Services,711,200,04/02/25
4066233818,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,932,200,04/02/25
4056191928,2646,Data Engineer III,Full-time,Walmart,Sunnyvale, CA,Retail,200,200,04/02/25
4147567410,66321745,Data Engineer - Entry/Remote,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,911,33,04/02/25
4149737949,1283,Data Engineer - Python with Data Structure,Full-time,Infosys,Texas, United States,IT Services and IT Consulting,622,200,04/02/25
4150917785,5279801,"Software Engineer Co-op, AI/ML",Internship,Bose Professional,Hopkinton, MA,Internet Publishing,678,200,04/02/25
4137483462,166658,Data Engineer,Full-time,University of Notre Dame,Notre Dame, IN,Higher Education,714,200,04/02/25
4077944881,2684737,Experienced Data Engineer - Data Engineering,Full-time,Plaid,San Francisco, CA,"Software Development, Technology, Information and Internet, and Financial Services",731,200,04/02/25
4143934304,529693,Data Engineer,Full-time,TextNow,New York, NY,"Telecommunications, IT Services and IT Consulting, and Software Development",782,200,04/02/25
4151641938,18048544,Data Engineer,Full-time,Crux,New York, NY,Software Development,678,119,04/02/25
4045414243,66321745,Junior/Entry Data Engineer (Remote),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,200,30,04/02/25
4066237448,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,789,200,04/02/25
4117095907,66321745,Data Engineer (Entry Level),Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,838,76,04/02/25
4066232907,1586,Data Engineer,Full-time,Amazon,Bellevue, WA,Software Development,658,200,04/02/25
4134210028,33246798,Data Engineer - Data Platform,Full-time,TikTok,San Jose, CA,Entertainment Providers,754,200,04/02/25
4117848871,65137,Data Engineer,Full-time,Q2,Austin, TX,Financial Services,770,200,04/02/25
4098430188,7971559,Data Engineer II,Full-time,PatientIQ,Chicago, IL,IT Services and IT Consulting,860,200,04/02/25
4145181032,28619152,Data Engineer,Full-time,PadSplit,Indiana, United States,Real Estate,917,200,04/02/25
4151647211,532234,Data Engineer,Full-time,MMG Insurance,Presque Isle, ME,Insurance,678,107,04/02/25
4139248930,10788836,Data Engineer,Full-time,VieCure,Denver Metropolitan Area,,"Software Development, IT System Custom Software Development, and Hospitals and Health Care",560,200,04/02/25
